%time,field.dynamixel_state0.name,field.dynamixel_state0.id,field.dynamixel_state0.present_position,field.dynamixel_state0.present_velocity,field.dynamixel_state0.present_current
1599990670473169517,one,1,-8466,33,0
1599990670505321592,one,1,-8448,33,0
1599990670569623559,one,1,-8413,33,0
1599990670601670008,one,1,-8395,33,0
1599990670665987535,one,1,-8358,34,0
1599990670697641472,one,1,-8339,34,0
1599990670761697000,one,1,-8303,35,0
1599990670793599354,one,1,-8284,35,0
1599990670857553003,one,1,-8247,35,0
1599990670921617612,one,1,-8207,35,0
1599990670953398504,one,1,-8188,35,0
1599990671017074558,one,1,-8151,35,0
1599990671049019827,one,1,-8132,36,0
1599990671113549663,one,1,-8095,36,0
1599990671145626404,one,1,-8077,36,0
1599990671209568787,one,1,-8039,36,0
1599990671273602054,one,1,-8004,36,0
1599990671305555146,one,1,-7985,36,0
1599990671369436264,one,1,-7948,36,0
1599990671401408001,one,1,-7929,36,0
1599990671465459854,one,1,-7892,36,0
1599990671497379433,one,1,-7874,36,0
1599990671562526458,one,1,-7838,36,0
1599990671593675015,one,1,-7819,36,0
1599990671657405858,one,1,-7783,36,0
1599990671721398526,one,1,-7747,36,0
1599990671753604691,one,1,-7728,35,0
1599990671817190857,one,1,-7691,35,0
1599990671849582495,one,1,-7673,35,0
1599990671913409247,one,1,-7634,36,0
1599990671945260837,one,1,-7616,36,0
1599990672009466562,one,1,-7579,36,0
1599990672073465964,one,1,-7542,36,0
1599990672105504756,one,1,-7523,36,0
1599990672169486814,one,1,-7486,36,0
1599990672201492941,one,1,-7467,36,0
1599990672265466685,one,1,-7431,36,0
1599990672297345725,one,1,-7412,36,0
1599990672361345899,one,1,-7375,36,0
1599990672393647424,one,1,-7356,36,0
1599990672457443354,one,1,-7319,36,0
1599990672521442458,one,1,-7283,36,0
1599990672553333272,one,1,-7265,36,0
1599990672617432926,one,1,-7229,36,0
1599990672649361961,one,1,-7210,36,0
1599990672713406529,one,1,-7174,35,0
1599990672745350978,one,1,-7155,35,0
1599990672809483258,one,1,-7118,35,0
